Time(s),AorticWallStrain,Afferent_AorticBaroreceptor,PleuralPressure,Test_FilteredCVP,Test_CentralSignal,MeanLungVolume,MuscleAutoregulation,Afferent_Baroreceptor,Afferent_Chemoreceptor,Afferent_PulmonaryStretch,Ursino_SympatheticNode,Ursino_SympatheticPeripheral,Afferent_Strain,Ursino_Parasympathetic,HypoxiaThreshold_Heart,HypoxiaThreshold_Peripheral,HypocapniaThreshold_Heart,HypocapniaThreshold_Peripheral,BaroreceptorOperatingPoint,SympatheticFatigue,HeartRateMod_Sympathetic,HeartRateMod_Vagal,ResistanceScale_Muscle,ResistanceScale_Splanchnic,ResistanceScale_Extrasplanchnic,ResistanceScale_Myocardium,Resistance_TotalPeripheral(mmHg_s_Per_mL),ElastanceScale,ComplianceScale,ComplianceModifier,VenaCava_Volume(mL),InsulinSynthesisRate(pmol/min)
0.76,0.04392,27.386,-4.17628,8.16187,9.96953,2.6796,0,25.3173,3.54556,11.9676,4.4633,4.02788,0.0423863,3.73522,0.451404,1.70878e-14,0.00340129,0.00340129,114.021,0,-0.230774,0.578517,1.00099,1.00038,1.00099,0.999598,0.937833,1.00478,0.999669,-0.0998292,1086.88,135
0.78,0.0439199,27.3868,-4.17773,8.16173,9.96933,2.68077,0,25.3173,3.54555,11.9659,4.46328,4.02795,0.0423864,3.73547,0.451434,1.70888e-14,0.00340495,0.00340495,114.021,0,-0.230777,0.578532,1.001,1.00038,1.001,0.999599,0.937833,1.00478,0.999668,-0.0998294,1088.83,135
0.80,0.0439199,27.3876,-4.17925,8.16161,9.96915,2.68204,0,25.3173,3.54554,11.9643,4.46325,4.02801,0.0423864,3.73571,0.451464,1.70898e-14,0.00340853,0.00340853,114.021,0,-0.230779,0.578547,1.001,1.00039,1.001,0.9996,0.937833,1.00478,0.999668,-0.0998295,1090.79,135
0.82,0.0439199,27.3884,-4.18084,8.16151,9.96901,2.68339,0,25.3172,3.54553,11.9627,4.4632,4.02805,0.0423864,3.73594,0.451494,1.70908e-14,0.00341203,0.00341203,114.021,0,-0.230782,0.578563,1.001,1.00039,1.001,0.9996,0.937833,1.00478,0.999668,-0.0998297,1092.77,135
0.84,0.0439199,27.3893,-4.18248,8.16144,9.96891,2.68484,0,25.3172,3.54553,11.9612,4.46315,4.02808,0.0423865,3.73617,0.451524,1.70918e-14,0.00341548,0.00341548,114.021,0,-0.230784,0.578579,1.00101,1.00039,1.00101,0.9996,0.937833,1.00478,0.999668,-0.0998299,1094.74,135
0.86,0.0439199,27.3901,-4.18419,8.16139,9.96884,2.68637,0,25.3172,3.54552,11.9598,4.46308,4.02811,0.0423865,3.73639,0.451554,1.70928e-14,0.00341888,0.00341888,114.021,0,-0.230787,0.578595,1.00101,1.00039,1.00101,0.999599,0.937833,1.00478,0.999668,-0.0998301,1096.72,135
0.88,0.0439199,27.3911,-4.18595,8.16137,9.9688,2.68798,0,25.3172,3.54551,11.9585,4.463,4.02812,0.0423865,3.73661,0.451584,1.70938e-14,0.00342225,0.00342225,114.021,0,-0.230789,0.578611,1.00102,1.00039,1.00102,0.999598,0.937833,1.00479,0.999668,-0.0998302,1098.7,135
0.90,0.0439199,27.392,-4.18777,8.16137,9.96881,2.68968,0,25.3172,3.54551,11.9572,4.46292,4.02811,0.0423866,3.73682,0.451614,1.70948e-14,0.00342559,0.00342559,114.021,0,-0.230791,0.578628,1.00102,1.00039,1.00102,0.999596,0.937833,1.00479,0.999667,-0.0998304,1100.68,135
0.92,0.04392,27.393,-4.18965,8.1614,9.96884,2.69146,0,25.3172,3.5455,11.9561,4.46282,4.0281,0.0423866,3.73702,0.451644,1.70958e-14,0.0034289,0.0034289,114.021,0,-0.230793,0.578644,1.00103,1.0004,1.00103,0.999594,0.937833,1.00479,0.999667,-0.0998306,1102.66,135
0.94,0.0439201,27.394,-4.19158,8.16145,9.96892,2.69331,0,25.3172,3.54549,11.955,4.46271,4.02807,0.0423866,3.73722,0.451674,1.70968e-14,0.00343219,0.00343219,114.021,0,-0.230795,0.578661,1.00103,1.0004,1.00103,0.999592,0.937833,1.00479,0.999667,-0.0998308,1104.63,135
